70,83,301,232,84,129,367,abhi
69,66,286,205,90,84,287,abhi
55,57,286,205,81,93,286,abhi
57,19,317,186,77,98,365,abhi
81,47,304,222,75,84,322,abhi
55,57,286,205,81,93,286,abhi
98,68,410,198,121,86,302,abhi
60,51,772,218,121,55,348,abhi
88,67,364,223,111,85,345,abhi
398,167,215,263,139,195,187,Jay
613,179,387,211,123,229,167,Jay
238,20,590,194,249,417,155,Jay
398,167,215,263,139,195,187,Jay
228,92,211,247,127,221,218,ajay
350,145,214,274,194,182,139,ajay
196,106,355,195,102,223,123,ajay
155,122,211,246,78,243,150,ajay
158,82,224,230,45,224,138,ajay
182,150,229,216,60,241,154,ajay
228,92,211,247,127,221,218,ajay
160,194,215,626,116,444,357,rewat
117,211,305,270,222,230,573,rewat
152,214,212,360,177,261,470,rewat
129,193,231,248,157,213,443,rewat
103,196,244,1083,171,217,549,rewat
